YEAR,WORK_GU,TOTAL_PEOPLE,RATE_UNDER 20s,RATE_20s-30s,RATE_40s-50s,RATE_60s-70s,RATE_OVER 80s,RATE_20M_Won,RATE_30M_Won,RATE_40M_Won,RATE_50M_Won,RATE_60M_Won,RATE_70M_Won,RATE_OVER_70M_Won,APT_PRICE_INDEX,APT_NUM,APT_RATE,NUM_INSU,INSU_MONEY,FOOD_TRASH,BIRTH_RATE,TOTAL_OIL,GASOLINE,KEROSENE,DIESEL,LPG,OTHER_OIL,TOTAL_GASUSE,GASUSE_HOME,GASUSE_COMMON,GASUSE_WORK,GASUSE_IND,GASUSE_HEAT,GASUSE_TRF,NUM_HYDCAR,TOTAL_ALONE,ALONE_65-79,ALONE_OVER_80,TOTAL_ALONE_BASIC,ALONE_BASIC_65-79,ALONE_BASIC_OVER_80,TOTAL_ALONE_LOW,ALONE_LOW_65-79,ALONE_LOW_OVER_80,TOTAL_ALONE_COMM,ALONE_COMM_65-79,ALONE_COMM_OVER_80,TOTAL_HOUSE,NUM_DANDOK,NUM_COMDAN,NUM_MULTI,NUM_WITHSALES,NUM_TOWNH,NUM_DASEDE,NUM_NOLIVE,PEOPEL_DENS,TOTAL_SD,SD_1MEM,SD_2MEM,SD_3MEM,SD_4MEM,SD_5MEM,SD_6MEM,SD_7MEM,SD_8MEM,SD_9MEM,SD_10MEM,RATE_VAC_1ST,RATE_VAC_2ND,RATE_VAC_3RD,RATE_VAC_4TH,RATE_VAC_VER2,TOTAL_AVG_AGE,MEN_AVG_AGE,WOMEN_AVG_AGE,TOTAL_LIB,TOTAL_REC,RESTAURANTS,CATERING,FOOD_PROCESS,FOOD_TRANS_SALES,HEALTH_FUNCTION_SALES,TOTAL_ELEC,RESIDENTIAL,GENERAL,EDUCATIONAL,INDUSTRIAL,AGRICULTURAL,STREETLIGHT,NIGHTUSE,MANUFACTURING,RETAIL,TOTAL_MED
2021,강남구,537800.0,17.51,28.14,33.65,17.91,2.78,0.09,0.28,0.21,0.13,0.07,0.05,0.18,100.9,176.0,88.88888888888889,13109793.0,667817416.0,242.6,0.523,2435.0,701.0,6.0,378.0,995.0,356.0,295314.0,107463.0,69670.0,64818.0,41.0,45901.0,7421.0,96.0,15432.0,11869.0,3563.0,3970.0,2987.0,983.0,324.0,190.0,134.0,11138.0,8692.0,2446.0,175536.0,6500.0,773.0,4338.0,1389.0,5735.0,33232.0,1632.0,13616.0,232777.0,94198.0,46546.0,41561.0,39360.0,8455.0,1949.0,470.0,166.0,43.0,29.0,81.61,80.67,55.81,9.08,11.82,42.3,41.6,42.9,15.0,24961.0,17369.0,431.0,1144.0,1698.0,4319.0,4822166.0,985159.0,3425904.0,52769.0,291674.0,1593.0,18408.0,46658.0,160.0,4103.0,4263.0
2021,강동구,466472.0,15.75,28.55,31.77,21.1,2.83,0.1,0.34,0.26,0.13,0.06,0.04,0.08,96.5,100.0,90.09009009009009,12827314.0,657029482.0,110.4,0.797,680.0,221.0,16.0,147.0,295.0,1.0,217425.0,103357.0,23456.0,10492.0,308.0,70320.0,9492.0,88.0,16059.0,12716.0,3343.0,4437.0,3097.0,1340.0,676.0,421.0,255.0,10946.0,9198.0,1748.0,146249.0,9672.0,495.0,7000.0,2177.0,3199.0,37790.0,1057.0,18970.0,202169.0,75420.0,47395.0,38792.0,32063.0,6707.0,1344.0,323.0,77.0,30.0,18.0,85.13,84.35,61.84,12.13,12.35,43.4,42.6,44.3,9.0,8304.0,5455.0,276.0,730.0,495.0,1348.0,1659003.0,678469.0,761865.0,36356.0,165714.0,1694.0,9145.0,5759.0,45.0,1183.0,1228.0
2021,강북구,302563.0,11.63,26.43,31.94,25.36,4.64,0.14,0.41,0.25,0.1,0.04,0.02,0.03,91.8,44.0,95.65217391304348,8406780.0,455025679.0,68.7,0.541,624.0,211.0,2.0,175.0,235.0,0.0,127262.0,98826.0,11126.0,6431.0,128.0,0.0,10751.0,10.0,25195.0,18812.0,6383.0,5984.0,4269.0,1715.0,1039.0,671.0,368.0,18172.0,13872.0,4300.0,97840.0,17261.0,4690.0,10072.0,2499.0,4834.0,39859.0,1011.0,12820.0,144313.0,65435.0,35336.0,23047.0,15842.0,3644.0,791.0,150.0,36.0,17.0,15.0,88.15,87.38,66.96,17.13,13.88,47.3,46.1,48.4,7.0,6504.0,4586.0,166.0,661.0,342.0,749.0,933057.0,422521.0,419954.0,26995.0,53374.0,78.0,5300.0,4836.0,10.0,661.0,671.0
2021,강서구,579768.0,13.9,32.06,30.32,20.57,3.14,0.11,0.34,0.26,0.13,0.06,0.04,0.07,97.6,161.0,97.57575757575758,15349458.0,798213378.0,144.1,0.617,9999.0,625.0,21.0,557.0,426.0,8370.0,193224.0,123433.0,29357.0,14763.0,1753.0,9980.0,13938.0,63.0,22863.0,17209.0,5654.0,8818.0,6046.0,2772.0,698.0,402.0,296.0,13347.0,10761.0,2586.0,199556.0,10060.0,1201.0,6710.0,2149.0,4752.0,66670.0,1109.0,13986.0,273697.0,122745.0,62742.0,44308.0,34304.0,7591.0,1522.0,356.0,88.0,25.0,16.0,86.73,85.98,62.7,12.43,11.52,43.5,42.8,44.2,9.0,12786.0,8755.0,391.0,873.0,817.0,1950.0,2752727.0,862444.0,1477648.0,52948.0,323189.0,5740.0,13035.0,17723.0,86.0,1651.0,1737.0
2021,관악구,499449.0,9.61,40.06,27.55,19.59,3.19,0.12,0.4,0.26,0.11,0.05,0.02,0.04,96.6,68.0,100.0,12720490.0,662812534.0,94.2,0.437,540.0,226.0,2.0,144.0,166.0,1.0,202634.0,156931.0,22369.0,17215.0,17.0,4.0,6098.0,35.0,20308.0,15688.0,4620.0,6325.0,4302.0,2023.0,573.0,327.0,246.0,13410.0,11059.0,2351.0,127783.0,21109.0,3514.0,14334.0,3261.0,6214.0,43014.0,1922.0,16891.0,283623.0,174511.0,51209.0,30121.0,21480.0,4897.0,1050.0,248.0,75.0,12.0,20.0,89.27,88.43,63.02,12.49,12.29,43.1,42.4,43.9,5.0,8371.0,6572.0,215.0,538.0,36.0,1010.0,1735924.0,696085.0,764069.0,220172.0,38644.0,172.0,10662.0,6119.0,23.0,966.0,989.0
2021,광진구,352627.0,12.41,35.03,30.54,18.95,3.07,0.13,0.38,0.24,0.11,0.05,0.03,0.06,97.1,60.0,92.3076923076923,9178628.0,461990580.0,86.8,0.525,850.0,403.0,2.0,286.0,158.0,1.0,148139.0,114464.0,23335.0,9987.0,342.0,11.0,0.0,20.0,12159.0,9125.0,3034.0,3164.0,2287.0,877.0,366.0,189.0,177.0,8629.0,6649.0,1980.0,91432.0,15096.0,613.0,11478.0,3005.0,4119.0,38226.0,1420.0,20666.0,169291.0,83646.0,35216.0,25306.0,19866.0,4037.0,910.0,223.0,61.0,14.0,12.0,88.09,87.34,63.21,11.99,12.41,43.3,42.7,43.8,7.0,8165.0,5920.0,168.0,575.0,419.0,1083.0,1616001.0,508471.0,635263.0,86092.0,361560.0,324.0,8518.0,15774.0,47.0,1056.0,1103.0
2021,구로구,421163.0,13.67,28.77,32.34,21.91,3.31,0.13,0.39,0.24,0.11,0.05,0.03,0.05,97.9,126.0,91.97080291970804,11844290.0,634992040.0,82.2,0.737,1055.0,283.0,7.0,272.0,482.0,10.0,163806.0,123881.0,14954.0,16361.0,714.0,3645.0,4251.0,43.0,15983.0,12041.0,3942.0,3770.0,2535.0,1235.0,576.0,325.0,251.0,11637.0,9181.0,2456.0,134367.0,11316.0,1525.0,8032.0,1759.0,7495.0,30883.0,832.0,20933.0,183655.0,76076.0,44115.0,32141.0,24349.0,5422.0,1179.0,265.0,70.0,26.0,12.0,90.82,90.04,68.38,15.64,14.22,44.6,43.8,45.4,12.0,8008.0,5577.0,247.0,549.0,457.0,1178.0,1927165.0,631473.0,891532.0,38188.0,346352.0,676.0,9775.0,9169.0,129.0,1204.0,1333.0
2021,금천구,244891.0,11.07,31.57,32.06,22.07,3.23,0.14,0.41,0.25,0.11,0.05,0.02,0.03,95.6,39.0,95.1219512195122,6677842.0,365618089.0,55.0,0.612,524.0,222.0,2.0,201.0,97.0,2.0,103923.0,74263.0,11884.0,9498.0,1823.0,378.0,6077.0,18.0,10731.0,8102.0,2629.0,3535.0,2470.0,1065.0,504.0,268.0,236.0,6692.0,5364.0,1328.0,71117.0,8645.0,348.0,7110.0,1187.0,3954.0,25002.0,521.0,18808.0,119583.0,61035.0,26699.0,16794.0,11617.0,2691.0,535.0,146.0,43.0,17.0,6.0,92.88,92.14,70.16,16.57,13.72,45.2,44.5,45.9,4.0,6201.0,4203.0,177.0,428.0,455.0,938.0,1691616.0,356850.0,1078944.0,17880.0,225944.0,120.0,6770.0,5108.0,281.0,1103.0,1384.0
2021,노원구,514946.0,15.79,26.36,32.94,21.01,3.89,0.13,0.34,0.25,0.12,0.06,0.03,0.06,92.2,206.0,98.09523809523807,13600252.0,702466809.0,118.4,0.701,831.0,257.0,2.0,173.0,398.0,1.0,203566.0,87017.0,14815.0,16605.0,83.0,68782.0,16264.0,21.0,23770.0,17416.0,6354.0,8770.0,5917.0,2853.0,830.0,460.0,370.0,14170.0,11039.0,3131.0,190352.0,6553.0,2097.0,3295.0,1161.0,3444.0,15089.0,683.0,14530.0,217540.0,76674.0,52413.0,42908.0,36722.0,7157.0,1268.0,277.0,80.0,23.0,18.0,86.83,86.05,64.33,13.88,13.15,44.4,43.0,45.7,9.0,7930.0,5086.0,298.0,713.0,543.0,1290.0,1540077.0,700585.0,620632.0,123703.0,76030.0,425.0,11802.0,6899.0,46.0,955.0,1001.0
2021,도봉구,319373.0,12.99,25.63,32.18,24.72,4.47,0.13,0.37,0.26,0.11,0.05,0.03,0.04,91.4,100.0,96.15384615384616,8786242.0,465314375.0,72.8,0.579,716.0,312.0,3.0,244.0,156.0,1.0,133548.0,91160.0,8472.0,5912.0,1824.0,4.0,26176.0,18.0,14961.0,10891.0,4070.0,3927.0,2577.0,1350.0,743.0,391.0,352.0,10291.0,7923.0,2368.0,107959.0,8449.0,1327.0,5485.0,1637.0,4201.0,29289.0,715.0,15465.0,138356.0,49922.0,36182.0,26914.0,19708.0,4404.0,915.0,212.0,63.0,28.0,8.0,88.18,87.47,67.42,16.35,14.06,46.7,45.6,47.8,9.0,4580.0,3030.0,188.0,489.0,276.0,597.0,894641.0,444161.0,351362.0,33399.0,56145.0,249.0,6237.0,3086.0,16.0,554.0,570.0
