DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,SEND_CTGG_NM,SEND_CTGG_CD,REC_CTPV_NM,REC_CTPV_CD,REC_CTGG_NM,REC_CTGG_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,종로구,11110.0,3.0,21.0,7.0,9.0,21.0,0.0,3.0,0.0,36.0,9.0,4.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,중구,11140.0,8.0,20.0,4.0,29.0,23.0,10.0,0.0,0.0,34.0,12.0,7.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,용산구,11170.0,7.0,41.0,10.0,21.0,17.0,9.0,11.0,3.0,34.0,4.0,11.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,성동구,11200.0,5.0,52.0,19.0,20.0,23.0,5.0,0.0,0.0,85.0,13.0,10.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,광진구,11215.0,8.0,61.0,7.0,25.0,26.0,6.0,4.0,4.0,51.0,12.0,21.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,동대문구,11230.0,13.0,55.0,10.0,12.0,12.0,5.0,10.0,0.0,61.0,12.0,19.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,중랑구,11260.0,7.0,43.0,4.0,20.0,21.0,3.0,7.0,0.0,49.0,10.0,12.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,성북구,11290.0,9.0,58.0,17.0,35.0,16.0,10.0,11.0,10.0,75.0,13.0,15.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,강북구,11305.0,6.0,35.0,0.0,10.0,13.0,6.0,6.0,0.0,31.0,12.0,8.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,도봉구,11320.0,9.0,34.0,8.0,18.0,15.0,4.0,4.0,0.0,35.0,8.0,7.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,노원구,11350.0,7.0,64.0,11.0,19.0,24.0,7.0,10.0,3.0,66.0,16.0,15.0
20230504,서울특별시,11.0,구로구,11530.0,서울특별시,11.0,은평구,11380.0,9.0,66.0,8.0,29.0,11.0,5.0,6.0,0.0,45.0,16.0,12.0
