DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,REC_CTPV_NM,REC_CTPV_CD,REC_CTGG_NM,REC_CTGG_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230603,충청남도,44,서울특별시,11,종로구,11110,0,6,6,0,3,0,21,0,47,12,0
20230603,충청남도,44,서울특별시,11,중구,11140,0,12,6,0,15,0,21,0,52,17,0
20230603,충청남도,44,서울특별시,11,용산구,11170,0,6,6,27,12,0,27,0,21,6,6
20230603,충청남도,44,서울특별시,11,성동구,11200,0,29,23,6,17,0,38,0,110,30,3
20230603,충청남도,44,서울특별시,11,광진구,11215,0,8,6,6,12,0,35,0,31,8,6
20230603,충청남도,44,서울특별시,11,동대문구,11230,0,17,7,3,12,0,39,0,34,5,3
20230603,충청남도,44,서울특별시,11,중랑구,11260,0,10,6,3,9,4,41,0,36,16,4
20230603,충청남도,44,서울특별시,11,성북구,11290,0,29,6,4,14,0,52,4,95,16,3
20230603,충청남도,44,서울특별시,11,강북구,11305,0,3,0,0,6,0,34,0,33,3,4
20230603,충청남도,44,서울특별시,11,도봉구,11320,0,4,0,8,12,0,48,0,23,6,0
20230603,충청남도,44,서울특별시,11,노원구,11350,0,17,5,7,21,4,56,0,40,5,6
20230603,충청남도,44,서울특별시,11,은평구,11380,0,0,5,11,20,0,69,3,15,9,8
20230603,충청남도,44,서울특별시,11,서대문구,11410,0,4,7,0,13,0,54,0,9,3,0
20230603,충청남도,44,서울특별시,11,마포구,11440,0,9,5,11,17,0,65,0,15,14,5
20230603,충청남도,44,서울특별시,11,양천구,11470,0,5,6,5,9,0,64,0,24,8,0
20230603,충청남도,44,서울특별시,11,강서구,11500,0,12,11,20,23,3,91,0,88,13,3
20230603,충청남도,44,서울특별시,11,구로구,11530,0,10,4,3,7,0,36,4,47,8,5
20230603,충청남도,44,서울특별시,11,금천구,11545,0,12,0,10,11,0,27,3,42,0,4
20230603,충청남도,44,서울특별시,11,영등포구,11560,4,11,8,9,8,0,69,0,7,3,7
20230603,충청남도,44,서울특별시,11,동작구,11590,0,7,5,8,10,0,33,0,15,7,9
20230603,충청남도,44,서울특별시,11,관악구,11620,3,8,8,3,15,0,71,0,27,11,5
20230603,충청남도,44,서울특별시,11,서초구,11650,0,14,8,3,23,0,55,0,20,4,4
20230603,충청남도,44,서울특별시,11,강남구,11680,0,76,14,12,15,0,87,0,34,23,5
20230603,충청남도,44,서울특별시,11,송파구,11710,0,25,6,12,26,0,82,0,33,33,7
20230603,충청남도,44,서울특별시,11,강동구,11740,0,10,5,6,16,3,59,0,20,14,5
20230604,경상북도,47,서울특별시,11,종로구,11110,0,3,0,0,0,0,60,0,4,0,7
20230604,경상북도,47,서울특별시,11,중구,11140,0,6,0,0,3,0,62,0,0,0,15
20230604,경상북도,47,서울특별시,11,용산구,11170,0,0,0,0,5,0,102,0,0,0,27
20230604,경상북도,47,서울특별시,11,성동구,11200,0,6,0,0,0,0,99,0,0,0,21
20230604,경상북도,47,서울특별시,11,광진구,11215,0,9,0,0,0,0,127,0,0,0,51
20230604,경상북도,47,서울특별시,11,동대문구,11230,0,7,0,0,0,0,103,0,0,0,27
20230604,경상북도,47,서울특별시,11,중랑구,11260,0,5,0,0,5,0,86,0,0,0,27
20230604,경상북도,47,서울특별시,11,성북구,11290,0,10,0,0,3,0,144,0,0,0,33
20230604,경상북도,47,서울특별시,11,강북구,11305,0,6,0,0,0,0,73,0,0,0,17
20230604,경상북도,47,서울특별시,11,도봉구,11320,0,5,0,0,0,0,105,0,0,0,24
20230604,경상북도,47,서울특별시,11,노원구,11350,0,14,0,0,4,0,166,0,0,0,39
20230604,경상북도,47,서울특별시,11,은평구,11380,0,14,0,0,3,0,145,0,0,0,32
20230604,경상북도,47,서울특별시,11,서대문구,11410,0,9,0,0,0,0,107,0,0,0,19
20230604,경상북도,47,서울특별시,11,마포구,11440,0,13,0,0,5,0,134,0,0,0,34
20230604,경상북도,47,서울특별시,11,양천구,11470,0,11,0,0,3,0,132,0,0,0,38
