DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,SEND_CTGG_NM,SEND_CTGG_CD,REC_CTPV_NM,REC_CTPV_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230522,서울특별시,11.0,양천구,11470.0,서울특별시,11.0,75.0,671.0,289.0,708.0,1230.0,270.0,661.0,61.0,1972.0,850.0,532.0
20230522,서울특별시,11.0,양천구,11470.0,부산광역시,26.0,30.0,126.0,51.0,162.0,333.0,51.0,172.0,8.0,436.0,208.0,150.0
20230522,서울특별시,11.0,양천구,11470.0,대구광역시,27.0,24.0,99.0,34.0,120.0,240.0,39.0,113.0,13.0,323.0,127.0,87.0
20230522,서울특별시,11.0,양천구,11470.0,인천광역시,28.0,30.0,170.0,52.0,161.0,394.0,73.0,192.0,12.0,497.0,203.0,132.0
20230522,서울특별시,11.0,양천구,11470.0,광주광역시,29.0,12.0,71.0,22.0,66.0,159.0,14.0,74.0,12.0,207.0,92.0,70.0
20230522,서울특별시,11.0,양천구,11470.0,대전광역시,30.0,15.0,63.0,22.0,70.0,179.0,19.0,87.0,3.0,212.0,71.0,67.0
20230522,서울특별시,11.0,양천구,11470.0,울산광역시,31.0,15.0,51.0,13.0,45.0,95.0,17.0,49.0,5.0,132.0,44.0,47.0
20230522,서울특별시,11.0,양천구,11470.0,세종특별자치시,36.0,0.0,11.0,10.0,27.0,59.0,9.0,21.0,0.0,70.0,17.0,38.0
20230522,서울특별시,11.0,양천구,11470.0,경기도,41.0,164.0,925.0,278.0,836.0,1848.0,278.0,928.0,74.0,2722.0,1194.0,713.0
20230522,서울특별시,11.0,양천구,11470.0,강원도,42.0,12.0,85.0,24.0,82.0,207.0,11.0,98.0,10.0,179.0,112.0,83.0
20230522,서울특별시,11.0,양천구,11470.0,충청북도,43.0,23.0,68.0,22.0,89.0,191.0,35.0,90.0,8.0,232.0,106.0,74.0
20230522,서울특별시,11.0,양천구,11470.0,충청남도,44.0,13.0,97.0,47.0,115.0,276.0,28.0,123.0,7.0,280.0,142.0,87.0
20230522,서울특별시,11.0,양천구,11470.0,전라북도,45.0,21.0,87.0,25.0,63.0,179.0,23.0,96.0,5.0,288.0,65.0,79.0
20230522,서울특별시,11.0,양천구,11470.0,전라남도,46.0,24.0,83.0,20.0,77.0,179.0,21.0,96.0,5.0,213.0,93.0,52.0
20230522,서울특별시,11.0,양천구,11470.0,경상북도,47.0,22.0,126.0,28.0,119.0,293.0,33.0,143.0,7.0,283.0,103.0,130.0
20230522,서울특별시,11.0,양천구,11470.0,경상남도,48.0,32.0,143.0,40.0,143.0,371.0,39.0,189.0,12.0,376.0,136.0,158.0
20230522,서울특별시,11.0,양천구,11470.0,제주특별자치도,50.0,3.0,18.0,9.0,29.0,31.0,5.0,13.0,4.0,53.0,27.0,14.0
20230523,서울특별시,11.0,도봉구,11320.0,서울특별시,11.0,104.0,373.0,101.0,563.0,582.0,142.0,421.0,64.0,1809.0,697.0,113.0
20230523,서울특별시,11.0,도봉구,11320.0,부산광역시,26.0,34.0,76.0,13.0,123.0,164.0,41.0,85.0,26.0,469.0,239.0,42.0
20230523,서울특별시,11.0,도봉구,11320.0,대구광역시,27.0,28.0,61.0,15.0,103.0,106.0,21.0,57.0,18.0,361.0,147.0,20.0
20230523,서울특별시,11.0,도봉구,11320.0,인천광역시,28.0,51.0,86.0,19.0,139.0,182.0,37.0,89.0,25.0,554.0,229.0,36.0
20230523,서울특별시,11.0,도봉구,11320.0,광주광역시,29.0,29.0,43.0,5.0,82.0,84.0,19.0,43.0,12.0,266.0,138.0,18.0
20230523,서울특별시,11.0,도봉구,11320.0,대전광역시,30.0,15.0,44.0,15.0,52.0,85.0,21.0,38.0,7.0,221.0,91.0,18.0
20230523,서울특별시,11.0,도봉구,11320.0,울산광역시,31.0,13.0,30.0,6.0,44.0,67.0,16.0,30.0,4.0,156.0,80.0,14.0
20230523,서울특별시,11.0,도봉구,11320.0,세종특별자치시,36.0,7.0,6.0,3.0,23.0,20.0,6.0,16.0,0.0,74.0,28.0,4.0
20230523,서울특별시,11.0,도봉구,11320.0,경기도,41.0,207.0,558.0,130.0,736.0,819.0,239.0,421.0,99.0,2699.0,1190.0,175.0
20230523,서울특별시,11.0,도봉구,11320.0,강원도,42.0,26.0,54.0,9.0,85.0,90.0,14.0,52.0,12.0,260.0,131.0,25.0
20230523,서울특별시,11.0,도봉구,11320.0,충청북도,43.0,17.0,37.0,9.0,82.0,88.0,26.0,49.0,7.0,296.0,116.0,12.0
20230523,서울특별시,11.0,도봉구,11320.0,충청남도,44.0,31.0,72.0,13.0,131.0,128.0,35.0,60.0,16.0,333.0,197.0,27.0
20230523,서울특별시,11.0,도봉구,11320.0,전라북도,45.0,20.0,53.0,4.0,89.0,54.0,19.0,51.0,9.0,300.0,137.0,15.0
20230523,서울특별시,11.0,도봉구,11320.0,전라남도,46.0,38.0,56.0,7.0,79.0,76.0,20.0,41.0,11.0,278.0,127.0,23.0
20230523,서울특별시,11.0,도봉구,11320.0,경상북도,47.0,39.0,97.0,13.0,108.0,143.0,35.0,69.0,12.0,382.0,161.0,29.0
20230523,서울특별시,11.0,도봉구,11320.0,경상남도,48.0,49.0,88.0,11.0,180.0,198.0,51.0,83.0,29.0,474.0,217.0,32.0
20230523,서울특별시,11.0,도봉구,11320.0,제주특별자치도,50.0,4.0,12.0,0.0,13.0,12.0,4.0,7.0,4.0,57.0,22.0,7.0
20230530,서울특별시,11.0,마포구,11440.0,서울특별시,11.0,595.0,3262.0,1463.0,3421.0,4071.0,484.0,2835.0,368.0,6252.0,2412.0,1521.0
20230530,서울특별시,11.0,마포구,11440.0,부산광역시,26.0,142.0,649.0,302.0,827.0,1012.0,118.0,758.0,103.0,1410.0,488.0,461.0
20230530,서울특별시,11.0,마포구,11440.0,대구광역시,27.0,91.0,423.0,193.0,538.0,695.0,74.0,491.0,113.0,920.0,370.0,326.0
20230530,서울특별시,11.0,마포구,11440.0,인천광역시,28.0,130.0,718.0,266.0,793.0,1106.0,106.0,783.0,100.0,1339.0,490.0,451.0
20230530,서울특별시,11.0,마포구,11440.0,광주광역시,29.0,58.0,294.0,140.0,415.0,469.0,56.0,305.0,49.0,680.0,242.0,195.0
20230530,서울특별시,11.0,마포구,11440.0,대전광역시,30.0,55.0,348.0,130.0,446.0,526.0,65.0,340.0,50.0,655.0,262.0,201.0
20230530,서울특별시,11.0,마포구,11440.0,울산광역시,31.0,33.0,206.0,94.0,239.0,339.0,45.0,243.0,30.0,380.0,168.0,182.0
20230530,서울특별시,11.0,마포구,11440.0,세종특별자치시,36.0,18.0,88.0,51.0,138.0,160.0,13.0,96.0,22.0,152.0,79.0,45.0
20230530,서울특별시,11.0,마포구,11440.0,경기도,41.0,671.0,3663.0,1509.0,4143.0,5355.0,631.0,3825.0,666.0,6915.0,2720.0,2122.0
20230530,서울특별시,11.0,마포구,11440.0,강원도,42.0,65.0,329.0,144.0,501.0,524.0,68.0,400.0,54.0,554.0,231.0,182.0
20230530,서울특별시,11.0,마포구,11440.0,충청북도,43.0,56.0,305.0,128.0,447.0,538.0,58.0,412.0,66.0,692.0,226.0,201.0
20230530,서울특별시,11.0,마포구,11440.0,충청남도,44.0,75.0,414.0,181.0,609.0,775.0,78.0,530.0,84.0,862.0,314.0,314.0
20230530,서울특별시,11.0,마포구,11440.0,전라북도,45.0,66.0,299.0,159.0,433.0,474.0,55.0,414.0,63.0,672.0,209.0,211.0
20230530,서울특별시,11.0,마포구,11440.0,전라남도,46.0,49.0,246.0,137.0,450.0,443.0,53.0,359.0,57.0,530.0,263.0,215.0
20230530,서울특별시,11.0,마포구,11440.0,경상북도,47.0,86.0,436.0,171.0,623.0,670.0,89.0,556.0,93.0,813.0,332.0,304.0
