DL_YMD,SEND_CTPV_NM,SEND_CTPV_CD,REC_CTPV_NM,REC_CTPV_CD,REC_CTGG_NM,REC_CTGG_CD,E_C_01,E_C_02,E_C_03,E_C_04,E_C_05,E_C_06,E_C_07,E_C_08,E_C_09,E_C_10,E_C_11
20230503,경상남도,48.0,서울특별시,11.0,종로구,11110.0,7.0,13.0,0.0,14.0,39.0,0.0,100.0,11.0,20.0,6.0,0.0
20230503,경상남도,48.0,서울특별시,11.0,중구,11140.0,3.0,29.0,0.0,5.0,42.0,6.0,102.0,15.0,48.0,9.0,0.0
20230503,경상남도,48.0,서울특별시,11.0,용산구,11170.0,3.0,15.0,0.0,28.0,56.0,11.0,120.0,12.0,28.0,9.0,0.0
20230503,경상남도,48.0,서울특별시,11.0,성동구,11200.0,8.0,82.0,0.0,13.0,46.0,13.0,146.0,18.0,63.0,17.0,0.0
20230503,경상남도,48.0,서울특별시,11.0,광진구,11215.0,9.0,27.0,0.0,21.0,65.0,13.0,114.0,12.0,26.0,7.0,6.0
20230503,경상남도,48.0,서울특별시,11.0,동대문구,11230.0,0.0,36.0,0.0,15.0,57.0,8.0,127.0,12.0,40.0,14.0,4.0
20230503,경상남도,48.0,서울특별시,11.0,중랑구,11260.0,3.0,18.0,0.0,11.0,55.0,13.0,181.0,13.0,34.0,13.0,3.0
20230503,경상남도,48.0,서울특별시,11.0,성북구,11290.0,5.0,36.0,0.0,19.0,92.0,6.0,187.0,11.0,68.0,36.0,5.0
20230503,경상남도,48.0,서울특별시,11.0,강북구,11305.0,3.0,19.0,0.0,13.0,37.0,9.0,126.0,0.0,32.0,14.0,0.0
20230503,경상남도,48.0,서울특별시,11.0,도봉구,11320.0,5.0,24.0,0.0,7.0,46.0,4.0,116.0,6.0,24.0,6.0,3.0
20230503,경상남도,48.0,서울특별시,11.0,노원구,11350.0,12.0,24.0,0.0,24.0,73.0,12.0,193.0,16.0,47.0,10.0,4.0
20230503,경상남도,48.0,서울특별시,11.0,은평구,11380.0,6.0,34.0,0.0,22.0,86.0,11.0,182.0,19.0,45.0,20.0,5.0
20230503,경상남도,48.0,서울특별시,11.0,서대문구,11410.0,6.0,33.0,0.0,17.0,56.0,5.0,107.0,8.0,51.0,16.0,0.0
20230503,경상남도,48.0,서울특별시,11.0,마포구,11440.0,11.0,67.0,6.0,45.0,108.0,9.0,196.0,18.0,57.0,13.0,3.0
20230503,경상남도,48.0,서울특별시,11.0,양천구,11470.0,7.0,17.0,0.0,14.0,65.0,16.0,149.0,12.0,34.0,12.0,4.0
20230503,경상남도,48.0,서울특별시,11.0,강서구,11500.0,11.0,38.0,3.0,26.0,124.0,22.0,216.0,16.0,80.0,25.0,5.0
20230503,경상남도,48.0,서울특별시,11.0,구로구,11530.0,5.0,26.0,0.0,13.0,64.0,12.0,184.0,17.0,40.0,14.0,3.0
20230503,경상남도,48.0,서울특별시,11.0,금천구,11545.0,0.0,20.0,0.0,15.0,66.0,12.0,95.0,10.0,35.0,10.0,4.0
20230503,경상남도,48.0,서울특별시,11.0,영등포구,11560.0,10.0,30.0,4.0,24.0,101.0,11.0,180.0,34.0,40.0,26.0,5.0
20230503,경상남도,48.0,서울특별시,11.0,동작구,11590.0,12.0,21.0,0.0,12.0,60.0,8.0,157.0,11.0,42.0,9.0,3.0
20230503,경상남도,48.0,서울특별시,11.0,관악구,11620.0,6.0,30.0,0.0,29.0,79.0,6.0,201.0,15.0,62.0,19.0,4.0
20230503,경상남도,48.0,서울특별시,11.0,서초구,11650.0,8.0,31.0,4.0,13.0,85.0,12.0,177.0,8.0,43.0,16.0,6.0
20230503,경상남도,48.0,서울특별시,11.0,강남구,11680.0,18.0,72.0,3.0,20.0,100.0,7.0,286.0,24.0,66.0,25.0,10.0
20230503,경상남도,48.0,서울특별시,11.0,송파구,11710.0,9.0,64.0,5.0,42.0,121.0,20.0,328.0,26.0,74.0,24.0,5.0
20230503,경상남도,48.0,서울특별시,11.0,강동구,11740.0,3.0,33.0,0.0,15.0,82.0,17.0,204.0,15.0,40.0,14.0,4.0
20230513,강원도,42.0,서울특별시,11.0,종로구,11110.0,0.0,5.0,0.0,0.0,3.0,0.0,8.0,0.0,20.0,6.0,0.0
20230513,강원도,42.0,서울특별시,11.0,중구,11140.0,0.0,7.0,0.0,0.0,0.0,0.0,18.0,0.0,25.0,11.0,0.0
20230513,강원도,42.0,서울특별시,11.0,용산구,11170.0,0.0,0.0,3.0,11.0,0.0,0.0,22.0,0.0,10.0,0.0,0.0
20230513,강원도,42.0,서울특별시,11.0,성동구,11200.0,0.0,26.0,11.0,0.0,4.0,0.0,12.0,0.0,49.0,28.0,0.0
20230513,강원도,42.0,서울특별시,11.0,광진구,11215.0,0.0,6.0,3.0,0.0,15.0,0.0,23.0,0.0,17.0,0.0,0.0
20230513,강원도,42.0,서울특별시,11.0,동대문구,11230.0,0.0,6.0,5.0,0.0,0.0,0.0,31.0,0.0,20.0,3.0,0.0
20230513,강원도,42.0,서울특별시,11.0,중랑구,11260.0,0.0,6.0,4.0,0.0,0.0,3.0,12.0,0.0,21.0,5.0,0.0
20230513,강원도,42.0,서울특별시,11.0,성북구,11290.0,0.0,10.0,6.0,3.0,0.0,0.0,9.0,3.0,51.0,8.0,0.0
20230513,강원도,42.0,서울특별시,11.0,강북구,11305.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,14.0,0.0,0.0
