지역,합계,20대 미만 비율,20-30대 비율,40-50대 비율,60-70대 비율,80대 이상 비율
종로구,152211,11.61,31.93,30.41,21.17,4.88
중구,130785,10.26,33.07,29.68,22.21,4.78
용산구,233284,12.32,32.51,31.21,19.57,4.39
성동구,288234,12.96,32.07,30.79,20.38,3.81
광진구,351252,12.08,35.1,30.07,19.43,3.33
동대문구,353601,12.07,33.37,28.83,21.5,4.22
중랑구,390140,11.73,28.82,31.26,24.17,4.03
성북구,441984,14.34,29.74,31.17,20.51,4.24
강북구,297702,11.16,26.24,31.54,25.87,5.19
도봉구,313989,12.52,25.16,31.79,25.58,4.95
노원구,508014,15.31,26.11,32.62,21.72,4.25
은평구,470602,13.3,27.78,31.86,22.64,4.42
서대문구,319554,13.2,32.11,29.96,20.21,4.53
마포구,375585,13.33,34.73,30.72,17.45,3.77
양천구,444010,17.12,24.82,33.97,20.91,3.18
강서구,574638,13.42,31.8,30.15,21.2,3.42
구로구,418418,13.18,28.77,31.84,22.56,3.65
금천구,242818,10.52,31.77,31.15,22.94,3.61
영등포구,398085,12.35,33.43,30.58,19.95,3.69
동작구,390432,12.49,33.27,29.56,20.74,3.94
관악구,501226,9.09,40.93,26.78,19.66,3.54
서초구,408451,18.16,26.61,33.7,18.42,3.11
강남구,534103,17.36,27.47,33.83,18.32,3.01
송파구,664514,15.79,29.42,31.84,20.1,2.86
강동구,464037,15.51,27.81,31.69,21.91,3.07
