지역,합계,20대 미만 비율,20-30대 비율,40-50대 비율,60-70대 비율,80대 이상 비율
종로구,151349,11.28,31.99,30.16,21.54,5.03
중구,132054,9.97,33.32,29.48,22.38,4.86
용산구,232069,12.1,32.35,31.09,19.97,4.49
성동구,286564,12.72,32.03,30.64,20.63,3.98
광진구,350820,11.77,35.2,29.77,19.81,3.46
동대문구,355667,11.84,33.57,28.64,21.59,4.36
중랑구,389316,11.53,28.62,30.99,24.66,4.2
성북구,441065,14.06,29.71,31.06,20.78,4.39
강북구,295773,10.92,26.11,31.25,26.27,5.45
도봉구,311386,12.18,24.94,31.57,26.13,5.18
노원구,504641,15.0,26.04,32.38,22.19,4.38
은평구,467295,12.99,27.62,31.75,23.03,4.61
서대문구,321726,12.94,32.28,29.78,20.37,4.64
마포구,376285,13.06,34.74,30.65,17.66,3.89
양천구,441517,16.83,24.59,33.85,21.42,3.31
강서구,572382,13.15,31.59,30.11,21.61,3.54
구로구,417774,12.93,28.49,31.62,23.14,3.82
금천구,242567,10.22,31.75,30.69,23.58,3.76
영등포구,398842,12.12,33.56,30.2,20.29,3.82
동작구,390843,12.3,33.34,29.39,20.9,4.07
관악구,502430,8.84,41.22,26.44,19.84,3.67
서초구,408753,17.9,26.54,33.67,18.65,3.24
강남구,542327,17.26,27.39,33.77,18.49,3.08
송파구,662872,15.54,29.26,31.73,20.49,2.97
강동구,463005,15.3,27.51,31.65,22.35,3.19
